time,real,predicted
T00:00:00+10:00,0,0
T00:05:00+10:00,0,0
T00:10:00+10:00,0,0
T00:15:00+10:00,0,0
T00:20:00+10:00,0,0
T00:25:00+10:00,0,0
T00:30:00+10:00,0,0
T00:35:00+10:00,0,0
T00:40:00+10:00,0,0
T00:45:00+10:00,0,0
T00:50:00+10:00,0,0
T00:55:00+10:00,0,0
T01:00:00+10:00,0,0
T01:05:00+10:00,0,0
T01:10:00+10:00,0,0
T01:15:00+10:00,0,0
T01:20:00+10:00,0,0
T01:25:00+10:00,0,0
T01:30:00+10:00,0,0
T01:35:00+10:00,0,0
T01:40:00+10:00,0,0
T01:45:00+10:00,0,0
T01:50:00+10:00,0,0
T01:55:00+10:00,0,0
T02:00:00+10:00,0,0
T02:05:00+10:00,0,0
T02:10:00+10:00,0,0
T02:15:00+10:00,0,0
T02:20:00+10:00,0,0
T02:25:00+10:00,0,0
T02:30:00+10:00,0,0
T02:35:00+10:00,0,0
T02:40:00+10:00,0,0
T02:45:00+10:00,0,0
T02:50:00+10:00,0,0
T02:55:00+10:00,0,0
T03:00:00+10:00,0,0
T03:05:00+10:00,0,0
T03:10:00+10:00,0,0
T03:15:00+10:00,0,0
T03:20:00+10:00,0,0
T03:25:00+10:00,0,0
T03:30:00+10:00,0,0
T03:35:00+10:00,0,0
T03:40:00+10:00,0,0
T03:45:00+10:00,0,0
T03:50:00+10:00,0,0
T03:55:00+10:00,0,0
T04:00:00+10:00,0,0
T04:05:00+10:00,0,0
T04:10:00+10:00,0,0
T04:15:00+10:00,0,0
T04:20:00+10:00,0,0
T04:25:00+10:00,0,0
T04:30:00+10:00,0,0
T04:35:00+10:00,0,0
T04:40:00+10:00,0,0
T04:45:00+10:00,0,0
T04:50:00+10:00,0,0
T04:55:00+10:00,0,0
T05:00:00+10:00,0,0
T05:05:00+10:00,0,0
T05:10:00+10:00,0,0
T05:15:00+10:00,0,0
T05:20:00+10:00,0,0
T05:25:00+10:00,0,0
T05:30:00+10:00,0,0
T05:35:00+10:00,0,0
T05:40:00+10:00,0,0
T05:45:00+10:00,0,0
T05:50:00+10:00,0,0
T05:55:00+10:00,0,0
T06:00:00+10:00,0,0
T06:05:00+10:00,0,0
T06:10:00+10:00,0,0
T06:15:00+10:00,0,0
T06:20:00+10:00,0,6.786370705
T06:25:00+10:00,0,6.786370705
T06:30:00+10:00,0,6.786370705
T06:35:00+10:00,0,6.786370705
T06:40:00+10:00,0,6.786370705
T06:45:00+10:00,0,6.786370705
T06:50:00+10:00,0,6.786370705
T06:55:00+10:00,0,6.786370705
T07:00:00+10:00,0,6.786370705
T07:05:00+10:00,0,6.786370705
T07:10:00+10:00,0,6.786370705
T07:15:00+10:00,0,6.786370705
T07:20:00+10:00,0,371.8931147
T07:25:00+10:00,0,371.8931147
T07:30:00+10:00,0,371.8931147
T07:35:00+10:00,9.2219024,371.8931147
T07:40:00+10:00,27.6657056,371.8931147
T07:45:00+10:00,41.4985584,371.8931147
T07:50:00+10:00,46.1095104,371.8931147
T07:55:00+10:00,69.1642656,371.8931147
T08:00:00+10:00,96.8299712,371.8931147
T08:05:00+10:00,119.8847264,371.8931147
T08:10:00+10:00,142.9394816,371.8931147
T08:15:00+10:00,170.6051872,371.8931147
T08:20:00+10:00,198.2708928,824.1368585
T08:25:00+10:00,216.7146976,824.1368585
T08:30:00+10:00,272.0461088,824.1368585
T08:35:00+10:00,230.5475504,824.1368585
T08:40:00+10:00,258.213256,824.1368585
T08:45:00+10:00,345.8213264,824.1368585
T08:50:00+10:00,382.7089344,824.1368585
T08:55:00+10:00,424.2074928,824.1368585
T09:00:00+10:00,497.9827088,824.1368585
T09:05:00+10:00,590.2017296,824.1368585
T09:10:00+10:00,677.8097984,824.1368585
T09:15:00+10:00,751.5850144,824.1368585
T09:20:00+10:00,857.636888,1302.168811
T09:25:00+10:00,936.0230544,1302.168811
T09:30:00+10:00,982.1325648,1302.168811
T09:35:00+10:00,1023.631123,1302.168811
T09:40:00+10:00,1069.740634,1302.168811
T09:45:00+10:00,1102.017291,1302.168811
T09:50:00+10:00,1125.072046,1302.168811
T09:55:00+10:00,1157.348702,1302.168811
T10:00:00+10:00,1180.403458,1302.168811
T10:05:00+10:00,1217.291066,1302.168811
T10:10:00+10:00,1244.956773,1302.168811
T10:15:00+10:00,1272.622478,1302.168811
